,airTemperature,gust,humidity,lat,lng,station_id,time,uvIndex,windSpeed
0,12.33,8.56,79.07,33.43628,-118.49236,SE482,1615780800,0.0,7.94
1,-1.76,1.52,91.53,36.05461,-118.74505,SE278,1615780800,0.0,1.19
2,10.17,5.26,62.63,34.14406,-116.40036,SE574,1615780800,0.0,3.31
3,11.96,3.59,74.17,33.78849,-118.37804,SE793,1615780800,0.0,3.17
4,9.75,7.16,82.57,34.51605,-120.38485,SE687,1615780800,0.0,4.04
5,3.79,6.06,73.4,34.90743,-118.52388,SE283,1615780800,0.0,4.86
10,-1.25,5.85,98.7,36.05461,-118.74505,SE278,1615820400,0.01,4.11
13,13.15,10.05,88.8,33.43628,-118.49236,SE482,1615820400,0.01,8.77
14,8.25,12.25,68.3,34.51605,-120.38485,SE687,1615820400,0.01,8.63
15,10.75,2.65,81.3,33.78849,-118.37804,SE793,1615820400,0.01,2.19
16,7.65,6.05,73.5,34.14406,-116.40036,SE574,1615820400,0.01,4.04
17,2.65,5.25,95.1,34.90743,-118.52388,SE283,1615820400,0.0,3.91
18,9.47,13.86,62.97,34.51605,-120.38485,SE687,1615827600,0.06,10.84
19,11.77,12.53,73.0,33.43628,-118.49236,SE482,1615827600,0.04,11.28
20,-0.04,7.53,93.17,34.90743,-118.52388,SE283,1615827600,0.02,5.76
26,-3.1,4.93,93.97,36.05461,-118.74505,SE278,1615827600,0.03,3.98
27,10.99,6.26,71.1,33.78849,-118.37804,SE793,1615827600,0.03,5.34
28,8.96,8.06,68.63,34.14406,-116.40036,SE574,1615827600,0.07,4.47
